Unemployment_rate,Country,Year
8.292,Canada,1998
7.567,Canada,1999
6.833,Canada,2000
7.225,Canada,2001
7.667,Canada,2002
7.583,Canada,2003
7.15,Canada,2004
6.767,Canada,2005
6.325,Canada,2006
6.075,Canada,2007
6.2,Canada,2008
8.375,Canada,2009
8.075,Canada,2010
7.55,Canada,2011
7.375,Canada,2012
7.133,Canada,2013
6.967,Canada,2014
6.942,Canada,2015
7.05,Canada,2016
6.383,Canada,2017
5.908,Canada,2018
5.733,Canada,2019
10.692,France,1998
10.442,France,1999
9.175,France,2000
8.458,France,2001
8.275,France,2002
8.508,France,2003
8.825,France,2004
8.892,France,2005
8.825,France,2006
7.983,France,2007
7.458,France,2008
9.083,France,2009
9.25,France,2010
9.2,France,2011
9.767,France,2012
10.3,France,2013
10.283,France,2014
10.367,France,2015
10.042,France,2016
9.425,France,2017
9.025,France,2018
8.467,France,2019
9.383,Germany,1998
8.558,Germany,1999
7.95,Germany,2000
7.8,Germany,2001
8.6,Germany,2002
9.708,Germany,2003
10.333,Germany,2004
11.008,Germany,2005
10.042,Germany,2006
8.542,Germany,2007
7.425,Germany,2008
7.642,Germany,2009
6.967,Germany,2010
5.833,Germany,2011
5.383,Germany,2012
5.242,Germany,2013
4.992,Germany,2014
4.633,Germany,2015
4.133,Germany,2016
3.758,Germany,2017
3.4,Germany,2018
3.15,Germany,2019
11.333,Italy,1998
10.942,Italy,1999
10.1,Italy,2000
9.1,Italy,2001
8.608,Italy,2002
8.45,Italy,2003
7.975,Italy,2004
7.708,Italy,2005
6.792,Italy,2006
6.117,Italy,2007
6.742,Italy,2008
7.742,Italy,2009
8.342,Italy,2010
8.417,Italy,2011
10.667,Italy,2012
12.125,Italy,2013
12.617,Italy,2014
11.908,Italy,2015
11.658,Italy,2016
11.258,Italy,2017
10.625,Italy,2018
9.875,Italy,2019
4.1,Japan,1998
4.667,Japan,1999
4.733,Japan,2000
5.042,Japan,2001
5.358,Japan,2002
5.242,Japan,2003
4.733,Japan,2004
4.425,Japan,2005
4.117,Japan,2006
3.833,Japan,2007
3.983,Japan,2008
5.075,Japan,2009
5.058,Japan,2010
4.583,Japan,2011
4.325,Japan,2012
4.008,Japan,2013
3.583,Japan,2014
3.375,Japan,2015
3.108,Japan,2016
2.825,Japan,2017
2.442,Japan,2018
2.358,Japan,2019
6.25,United Kingdom,1998
5.975,United Kingdom,1999
5.45,United Kingdom,2000
5.1,United Kingdom,2001
5.2,United Kingdom,2002
5,United Kingdom,2003
4.75,United Kingdom,2004
4.825,United Kingdom,2005
5.425,United Kingdom,2006
5.35,United Kingdom,2007
5.725,United Kingdom,2008
7.625,United Kingdom,2009
7.9,United Kingdom,2010
8.1,United Kingdom,2011
7.975,United Kingdom,2012
7.575,United Kingdom,2013
6.2,United Kingdom,2014
5.375,United Kingdom,2015
4.875,United Kingdom,2016
4.425,United Kingdom,2017
4.075,United Kingdom,2018
3.825,United Kingdom,2019
4.5,United States,1998
4.217,United States,1999
3.967,United States,2000
4.742,United States,2001
5.783,United States,2002
5.992,United States,2003
5.542,United States,2004
5.083,United States,2005
4.608,United States,2006
4.617,United States,2007
5.8,United States,2008
9.283,United States,2009
9.608,United States,2010
8.933,United States,2011
8.075,United States,2012
7.358,United States,2013
6.158,United States,2014
5.275,United States,2015
4.875,United States,2016
4.35,United States,2017
3.892,United States,2018
3.683,United States,2019
