,index,LOCATION,TIME,Germany_unemployment_rate,time_close,BTC_closing_price
0,633,DEU,2015-04-01,4.7,2015-04-30 00:00:00+00:00,146.12
1,634,DEU,2015-05-01,4.7,2015-05-31 00:00:00+00:00,153.06
2,635,DEU,2015-06-01,4.7,2015-06-30 00:00:00+00:00,154.97
3,636,DEU,2015-07-01,4.6,2015-07-31 00:00:00+00:00,181.00333333333333
4,637,DEU,2015-08-01,4.6,2015-08-31 00:00:00+00:00,162.85666666666665
5,638,DEU,2015-09-01,4.5,2015-09-30 00:00:00+00:00,154.57666666666668
6,639,DEU,2015-10-01,4.5,2015-10-31 00:00:00+00:00,172.75
7,640,DEU,2015-11-01,4.5,2015-11-30 00:00:00+00:00,230.23666666666668
8,641,DEU,2015-12-01,4.5,2015-12-31 00:00:00+00:00,290.2266666666667
9,642,DEU,2016-01-01,4.4,2016-01-31 00:00:00+00:00,292.6233333333333
10,643,DEU,2016-02-01,4.3,2016-02-29 00:00:00+00:00,274.18333333333334
11,644,DEU,2016-03-01,4.3,2016-03-31 00:00:00+00:00,289.38000000000005
12,645,DEU,2016-04-01,4.3,2016-04-30 00:00:00+00:00,309.3433333333333
13,646,DEU,2016-05-01,4.2,2016-05-31 00:00:00+00:00,314.16333333333336
14,647,DEU,2016-06-01,4.2,2016-06-30 00:00:00+00:00,419.3966666666667
15,648,DEU,2016-07-01,4.2,2016-07-31 00:00:00+00:00,515.3733333333333
16,649,DEU,2016-08-01,4.1,2016-08-31 00:00:00+00:00,449.84749999999997
17,650,DEU,2016-09-01,4.1,2016-09-30 00:00:00+00:00,472.71333333333337
18,651,DEU,2016-10-01,4.0,2016-10-31 00:00:00+00:00,532.6866666666666
19,652,DEU,2016-11-01,3.9,2016-11-30 00:00:00+00:00,598.0533333333334
20,653,DEU,2016-12-01,3.9,2016-12-31 00:00:00+00:00,686.7433333333333
21,654,DEU,2017-01-01,3.9,2017-01-31 00:00:00+00:00,738.9866666666667
22,655,DEU,2017-02-01,3.9,2017-02-28 00:00:00+00:00,887.9966666666666
23,656,DEU,2017-03-01,3.9,2017-03-31 00:00:00+00:00,883.1233333333333
24,657,DEU,2017-04-01,3.8,2017-04-30 00:00:00+00:00,983.2333333333332
25,658,DEU,2017-05-01,3.8,2017-05-31 00:00:00+00:00,1514.8366666666668
26,659,DEU,2017-06-01,3.8,2017-06-30 00:00:00+00:00,2067.9933333333333
27,660,DEU,2017-07-01,3.7,2017-07-31 00:00:00+00:00,1900.4016666666666
28,661,DEU,2017-08-01,3.7,2017-08-31 00:00:00+00:00,3106.5056666666665
29,662,DEU,2017-09-01,3.7,2017-09-30 00:00:00+00:00,3057.8033333333333
30,663,DEU,2017-10-01,3.7,2017-10-31 00:00:00+00:00,4017.1066666666666
31,664,DEU,2017-11-01,3.6,2017-11-30 00:00:00+00:00,5717.056666666666
32,665,DEU,2017-12-01,3.6,2017-12-31 00:00:00+00:00,10770.063333333334
33,666,DEU,2018-01-01,3.5,2018-01-31 00:00:00+00:00,9876.883333333333
