,Unnamed: 0,index,LOCATION,TIME,Germany_unemployment_rate,time_close,BTC_closing_price,yfit,xfit
0,0,633,DEU,01/04/2015,4.7,2015-04-30 00:00:00+00:00,146.12,6677.926664,3.1
1,1,634,DEU,01/05/2015,4.7,2015-05-31 00:00:00+00:00,153.06,6711.704784,3.101601602
2,2,635,DEU,01/06/2015,4.7,2015-06-30 00:00:00+00:00,154.97,6745.438202,3.103203203
3,3,636,DEU,01/07/2015,4.6,2015-07-31 00:00:00+00:00,181.0033333,6779.12599,3.104804805
4,4,637,DEU,01/08/2015,4.6,2015-08-31 00:00:00+00:00,162.8566667,6812.767225,3.106406406
5,5,638,DEU,01/09/2015,4.5,2015-09-30 00:00:00+00:00,154.5766667,6846.36099,3.108008008
6,6,639,DEU,01/10/2015,4.5,2015-10-31 00:00:00+00:00,172.75,6879.906371,3.10960961
7,7,640,DEU,01/11/2015,4.5,2015-11-30 00:00:00+00:00,230.2366667,6913.402457,3.111211211
8,8,641,DEU,01/12/2015,4.5,2015-12-31 00:00:00+00:00,290.2266667,6946.848346,3.112812813
9,9,642,DEU,01/01/2016,4.4,2016-01-31 00:00:00+00:00,292.6233333,6980.243136,3.114414414
10,10,643,DEU,01/02/2016,4.3,2016-02-29 00:00:00+00:00,274.1833333,7013.585933,3.116016016
11,11,644,DEU,01/03/2016,4.3,2016-03-31 00:00:00+00:00,289.38,7046.875843,3.117617618
12,12,645,DEU,01/04/2016,4.3,2016-04-30 00:00:00+00:00,309.3433333,7080.111981,3.119219219
13,13,646,DEU,01/05/2016,4.2,2016-05-31 00:00:00+00:00,314.1633333,7113.293464,3.120820821
14,14,647,DEU,01/06/2016,4.2,2016-06-30 00:00:00+00:00,419.3966667,7146.419414,3.122422422
15,15,648,DEU,01/07/2016,4.2,2016-07-31 00:00:00+00:00,515.3733333,7179.488957,3.124024024
16,16,649,DEU,01/08/2016,4.1,2016-08-31 00:00:00+00:00,449.8475,7212.501225,3.125625626
17,17,650,DEU,01/09/2016,4.1,2016-09-30 00:00:00+00:00,472.7133333,7245.455351,3.127227227
18,18,651,DEU,01/10/2016,4,2016-10-31 00:00:00+00:00,532.6866667,7278.350477,3.128828829
19,19,652,DEU,01/11/2016,3.9,2016-11-30 00:00:00+00:00,598.0533333,7311.185745,3.13043043
20,20,653,DEU,01/12/2016,3.9,2016-12-31 00:00:00+00:00,686.7433333,7343.960305,3.132032032
21,21,654,DEU,01/01/2017,3.9,2017-01-31 00:00:00+00:00,738.9866667,7376.673309,3.133633634
22,22,655,DEU,01/02/2017,3.9,2017-02-28 00:00:00+00:00,887.9966667,7409.323914,3.135235235
23,23,656,DEU,01/03/2017,3.9,2017-03-31 00:00:00+00:00,883.1233333,7441.911281,3.136836837
24,24,657,DEU,01/04/2017,3.8,2017-04-30 00:00:00+00:00,983.2333333,7474.434577,3.138438438
25,25,658,DEU,01/05/2017,3.8,2017-05-31 00:00:00+00:00,1514.836667,7506.892973,3.14004004
26,26,659,DEU,01/06/2017,3.8,2017-06-30 00:00:00+00:00,2067.993333,7539.285641,3.141641642
27,27,660,DEU,01/07/2017,3.7,2017-07-31 00:00:00+00:00,1900.401667,7571.611762,3.143243243
28,28,661,DEU,01/08/2017,3.7,2017-08-31 00:00:00+00:00,3106.505667,7603.870519,3.144844845
29,29,662,DEU,01/09/2017,3.7,2017-09-30 00:00:00+00:00,3057.803333,7636.061099,3.146446446
30,30,663,DEU,01/10/2017,3.7,2017-10-31 00:00:00+00:00,4017.106667,7668.182694,3.148048048
