,Unnamed: 0,index,LOCATION,TIME,Japan_unemployment_rate,time_close,BTC_closing_price,yfit,xfit
0,0.0,1037.0,JPN,2015-09-01,3.4,,,,
1,1.0,1038.0,JPN,2015-10-01,3.2,,,,
2,2.0,1039.0,JPN,2015-11-01,3.3,,,,
3,3.0,1040.0,JPN,2015-12-01,3.3,,,,
4,4.0,1041.0,JPN,2016-01-01,3.2,2015-08-31 00:00:00+00:00,162.85666666666663,,
5,5.0,1042.0,JPN,2016-02-01,3.3,2015-09-30 00:00:00+00:00,154.57666666666668,,
6,6.0,1043.0,JPN,2016-03-01,3.2,2015-10-31 00:00:00+00:00,172.75,,
7,7.0,1044.0,JPN,2016-04-01,3.2,2015-11-30 00:00:00+00:00,230.23666666666668,,
8,8.0,1045.0,JPN,2016-05-01,3.2,2015-12-31 00:00:00+00:00,290.2266666666667,,
9,9.0,1046.0,JPN,2016-06-01,3.1,2016-01-31 00:00:00+00:00,292.62333333333333,,
10,10.0,1047.0,JPN,2016-07-01,3.0,2016-02-29 00:00:00+00:00,274.18333333333334,,
11,11.0,1048.0,JPN,2016-08-01,3.1,2016-03-31 00:00:00+00:00,289.38000000000005,,
12,12.0,1049.0,JPN,2016-09-01,3.0,2016-04-30 00:00:00+00:00,309.3433333333333,,
13,13.0,1050.0,JPN,2016-10-01,3.0,2016-05-31 00:00:00+00:00,314.16333333333336,,
14,14.0,1051.0,JPN,2016-11-01,3.0,2016-06-30 00:00:00+00:00,419.3966666666667,,
15,15.0,1052.0,JPN,2016-12-01,3.0,2016-07-31 00:00:00+00:00,515.3733333333333,,
16,16.0,1053.0,JPN,2017-01-01,3.0,2016-08-31 00:00:00+00:00,449.8475,,
17,17.0,1054.0,JPN,2017-02-01,2.9,2016-09-30 00:00:00+00:00,472.71333333333337,,
18,18.0,1055.0,JPN,2017-03-01,2.8,2016-10-31 00:00:00+00:00,532.6866666666666,,
19,19.0,1056.0,JPN,2017-04-01,2.8,2016-11-30 00:00:00+00:00,598.0533333333334,,
20,20.0,1057.0,JPN,2017-05-01,3.0,2016-12-31 00:00:00+00:00,686.7433333333332,,
21,21.0,1058.0,JPN,2017-06-01,2.8,2017-01-31 00:00:00+00:00,738.9866666666667,,
22,22.0,1059.0,JPN,2017-07-01,2.8,2017-02-28 00:00:00+00:00,887.9966666666666,,
23,23.0,1060.0,JPN,2017-08-01,2.8,2017-03-31 00:00:00+00:00,883.1233333333333,,
24,24.0,1061.0,JPN,2017-09-01,2.8,2017-04-30 00:00:00+00:00,983.2333333333332,,
25,25.0,1062.0,JPN,2017-10-01,2.7,2017-05-31 00:00:00+00:00,1514.8366666666668,,
26,26.0,1063.0,JPN,2017-11-01,2.7,2017-06-30 00:00:00+00:00,2067.9933333333333,,
27,27.0,1064.0,JPN,2017-12-01,2.7,2017-07-31 00:00:00+00:00,1900.4016666666666,,
28,28.0,1065.0,JPN,2018-01-01,2.4,2017-08-31 00:00:00+00:00,3106.5056666666665,,
29,29.0,1066.0,JPN,2018-02-01,2.5,2017-09-30 00:00:00+00:00,3057.8033333333333,,
30,30.0,1067.0,JPN,2018-03-01,2.5,2017-10-31 00:00:00+00:00,4017.106666666666,,
31,31.0,1068.0,JPN,2018-04-01,2.5,2017-11-30 00:00:00+00:00,5717.056666666666,,
32,32.0,1069.0,JPN,2018-05-01,2.2,2017-12-31 00:00:00+00:00,10770.063333333334,,
33,33.0,1070.0,JPN,2018-06-01,2.4,2018-01-31 00:00:00+00:00,9876.883333333333,,
34,34.0,1071.0,JPN,2018-07-01,2.5,2018-02-28 00:00:00+00:00,6633.079999999999,,
35,35.0,1072.0,JPN,2018-08-01,2.5,2018-03-31 00:00:00+00:00,6785.493333333333,,
36,36.0,1073.0,JPN,2018-09-01,2.3,2018-04-30 00:00:00+00:00,5766.466666666667,,
37,37.0,1074.0,JPN,2018-10-01,2.4,2018-05-31 00:00:00+00:00,6420.746666666668,,
38,38.0,1075.0,JPN,2018-11-01,2.5,2018-06-30 00:00:00+00:00,5078.5999999999985,,
39,39.0,1076.0,JPN,2018-12-01,2.5,2018-07-31 00:00:00+00:00,5157.97,,
40,40.0,1077.0,JPN,2019-01-01,2.5,2018-08-31 00:00:00+00:00,5311.565000000001,,
41,41.0,1078.0,JPN,2019-02-01,2.4,2018-09-30 00:00:00+00:00,4960.323333333334,,
42,42.0,1079.0,JPN,2019-03-01,2.5,2018-10-31 00:00:00+00:00,4997.333333333333,,
43,43.0,1080.0,JPN,2019-04-01,2.4,2018-11-30 00:00:00+00:00,3994.5,,
44,44.0,1081.0,JPN,2019-05-01,2.3,2018-12-31 00:00:00+00:00,2912.856666666666,,
45,45.0,1082.0,JPN,2019-06-01,2.3,2019-01-31 00:00:00+00:00,2866.2566666666667,,
46,46.0,1083.0,JPN,2019-07-01,2.3,2019-02-28 00:00:00+00:00,2763.476666666667,,
47,47.0,1084.0,JPN,2019-08-01,2.3,2019-03-31 00:00:00+00:00,3065.1566666666668,,
48,48.0,1085.0,JPN,2019-09-01,2.4,2019-04-30 00:00:00+00:00,4040.2,,
49,49.0,1086.0,JPN,2019-10-01,2.4,2019-05-31 00:00:00+00:00,5750.463333333332,,
50,50.0,1087.0,JPN,2019-11-01,2.3,2019-06-30 00:00:00+00:00,7522.53,,
51,51.0,1088.0,JPN,2019-12-01,2.2,2019-07-31 00:00:00+00:00,8224.346666666666,,
52,52.0,1089.0,JPN,2020-01-01,2.4,2019-08-31 00:00:00+00:00,8805.886666666667,,
53,53.0,1090.0,JPN,2020-02-01,2.4,2019-09-30 00:00:00+00:00,7895.406666666666,,
54,54.0,1091.0,JPN,2020-03-01,2.5,2019-10-31 00:00:00+00:00,6597.956666666666,,
55,55.0,1092.0,JPN,2020-04-01,2.6,2019-11-30 00:00:00+00:00,6469.213333333332,,
56,56.0,1093.0,JPN,2020-05-01,2.8,2019-12-31 00:00:00+00:00,5474.086666666666,,
57,57.0,1094.0,JPN,2020-06-01,2.8,2020-01-31 00:00:00+00:00,6082.556666666666,,
58,58.0,1095.0,JPN,2020-07-01,2.9,2020-02-29 00:00:00+00:00,7530.593333333332,,
59,59.0,1096.0,JPN,2020-08-01,3.0,2020-03-31 00:00:00+00:00,5720.506666666667,,
60,60.0,1097.0,JPN,2020-09-01,3.0,2020-04-30 00:00:00+00:00,5614.0633333333335,,
61,61.0,1098.0,JPN,2020-10-01,3.1,2020-05-31 00:00:00+00:00,7320.54,,
62,62.0,1099.0,JPN,2020-11-01,3.0,2020-06-30 00:00:00+00:00,7693.09,,
63,63.0,1100.0,JPN,2020-12-01,3.0,2020-07-31 00:00:00+00:00,7717.5375,,
64,64.0,1101.0,JPN,2021-01-01,2.9,2020-08-31 00:00:00+00:00,8968.646666666667,,
65,65.0,1102.0,JPN,2021-02-01,2.9,2020-09-30 00:00:00+00:00,8304.48,,
66,66.0,1103.0,JPN,2021-03-01,2.6,2020-10-31 00:00:00+00:00,9331.256666666666,,
67,67.0,1104.0,JPN,2021-04-01,2.8,2020-11-30 00:00:00+00:00,12850.81,,
68,68.0,1105.0,JPN,2021-05-01,3.0,2020-12-31 00:00:00+00:00,16988.72333333333,,
69,69.0,1106.0,JPN,2021-06-01,2.9,2021-01-31 00:00:00+00:00,25970.106666666667,,
70,70.0,1107.0,JPN,2021-07-01,2.8,2021-02-28 00:00:00+00:00,32549.94333333333,,
71,71.0,1108.0,JPN,2021-08-01,2.8,2021-03-31 00:00:00+00:00,39925.35666666667,,
72,72.0,1109.0,JPN,2021-09-01,2.8,2021-04-30 00:00:00+00:00,41446.51666666666,,
73,73.0,1110.0,JPN,2021-10-01,2.7,2021-05-31 00:00:00+00:00,33007.263333333336,,
0,,,,,,,,3.0256016495900826,154.57666666666668
1,,,,,,,,3.017310401120333,195.90993993993996
2,,,,,,,,3.009103026012826,237.2432132132132
3,,,,,,,,3.000979129184284,278.5764864864865
4,,,,,,,,2.992938316322309,319.90975975975977
5,,,,,,,,2.984980193885382,361.24303303303304
6,,,,,,,,2.9771043691028662,402.57630630630626
7,,,,,,,,2.9693104499750027,443.9095795795796
8,,,,,,,,2.9615980452729134,485.2428528528528
9,,,,,,,,2.9539667645386,526.5761261261262
10,,,,,,,,2.946416218084944,567.9093993993994
11,,,,,,,,2.9389460169957076,609.2426726726727
