,TIME,Variable,Score
6,2016-11-01,Germany_inflation_Z,-0.7810414000217959
7,2016-11-01,Japan_inflation_Z,0.29464693586870505
8,2016-11-01,Turkey_inflation_Z,-1.7165306747350033
9,2016-11-01,USA_inflation_Z,-0.4871591871879878
10,2016-11-01,Bitcoin_price_Z,-0.8646288829651424
11,2016-11-01,Ethereum_price_Z,-0.7147999328277085
18,2016-12-01,Germany_inflation_Z,-0.02881754155198525
19,2016-12-01,Japan_inflation_Z,-0.04209241940981505
20,2016-12-01,Turkey_inflation_Z,-1.3512711320485873
21,2016-12-01,USA_inflation_Z,-0.17827351033881642
22,2016-12-01,Bitcoin_price_Z,-0.8583063850414564
23,2016-12-01,Ethereum_price_Z,-0.7181448515835861
30,2017-01-01,Germany_inflation_Z,0.09080000003917661
31,2017-01-01,Japan_inflation_Z,0.12627725822944505
32,2017-01-01,Turkey_inflation_Z,-1.1878395119992566
33,2017-01-01,USA_inflation_Z,0.16564510631761928
34,2017-01-01,Bitcoin_price_Z,-0.8497279708519861
35,2017-01-01,Ethereum_price_Z,-0.7203048652180333
42,2017-02-01,Germany_inflation_Z,0.40924870599202956
43,2017-02-01,Japan_inflation_Z,-0.04209241940981505
44,2017-02-01,Turkey_inflation_Z,-0.9710681080929696
45,2017-02-01,USA_inflation_Z,0.35798148354584763
46,2017-02-01,Bitcoin_price_Z,-0.8446748086919693
47,2017-02-01,Ethereum_price_Z,-0.7173473525478131
54,2017-03-01,Germany_inflation_Z,-0.14079185136370306
55,2017-03-01,Japan_inflation_Z,-0.21046209704907506
56,2017-03-01,Turkey_inflation_Z,-0.6937631996141127
57,2017-03-01,USA_inflation_Z,0.0690953428197157
58,2017-03-01,Bitcoin_price_Z,-0.8302620282390103
59,2017-03-01,Ethereum_price_Z,-0.7135345883222665
66,2017-04-01,Germany_inflation_Z,0.17880323221797073
67,2017-04-01,Japan_inflation_Z,0.12627725822944505
68,2017-04-01,Turkey_inflation_Z,-0.5560450257711061
69,2017-04-01,USA_inflation_Z,-0.07716586719089856
70,2017-04-01,Bitcoin_price_Z,-0.8307333944789097
71,2017-04-01,Ethereum_price_Z,-0.6818264924574409
78,2017-05-01,Germany_inflation_Z,-0.36273591720814496
79,2017-05-01,Japan_inflation_Z,0.12627725822944505
80,2017-05-01,Turkey_inflation_Z,-0.5911854088446967
81,2017-05-01,USA_inflation_Z,-0.33975082726191197
82,2017-05-01,Bitcoin_price_Z,-0.821050397021385
83,2017-05-01,Ethereum_price_Z,-0.6578618421265796
90,2017-06-01,Germany_inflation_Z,-0.1512185308811612
