,Unnamed: 0,LOCATION,TIME,unemployment_rate,index,time_close,closing_price,yfit,xfit,Regression
0,0,DEU,01/09/2016,4.1,0,2016-10-31 00:00:00+00:00,9.9355,,,Germany-Ethereum
1,1,DEU,01/10/2016,4,1,2016-11-30 00:00:00+00:00,7.97555,,,Germany-Ethereum
2,2,DEU,01/11/2016,3.9,2,2016-12-31 00:00:00+00:00,6.709893333,,,Germany-Ethereum
3,3,DEU,01/12/2016,3.9,3,2017-01-31 00:00:00+00:00,8.442843333,,,Germany-Ethereum
4,4,DEU,01/01/2017,3.9,4,2017-02-28 00:00:00+00:00,10.67692667,,,Germany-Ethereum
5,5,DEU,01/02/2017,3.9,5,2017-03-31 00:00:00+00:00,29.25623667,,,Germany-Ethereum
6,6,DEU,01/03/2017,3.9,6,2017-04-30 00:00:00+00:00,43.29828667,,,Germany-Ethereum
7,7,DEU,01/04/2017,3.8,7,2017-05-31 00:00:00+00:00,91.30842333,,,Germany-Ethereum
8,8,DEU,01/05/2017,3.8,8,2017-06-30 00:00:00+00:00,234.96738,,,Germany-Ethereum
9,9,DEU,01/06/2017,3.8,9,2017-07-31 00:00:00+00:00,163.4962533,,,Germany-Ethereum
10,10,DEU,01/07/2017,3.7,10,2017-08-31 00:00:00+00:00,227.66631,,,Germany-Ethereum
11,11,DEU,01/08/2017,3.7,11,2017-09-30 00:00:00+00:00,207.005,,,Germany-Ethereum
12,12,DEU,01/09/2017,3.7,12,2017-10-31 00:00:00+00:00,222.31,,,Germany-Ethereum
13,13,DEU,01/10/2017,3.7,13,2017-11-30 00:00:00+00:00,230.1633333,,,Germany-Ethereum
14,14,DEU,01/11/2017,3.6,14,2017-12-31 00:00:00+00:00,386.3966667,,,Germany-Ethereum
15,15,DEU,01/12/2017,3.6,15,2018-01-31 00:00:00+00:00,662.9466667,,,Germany-Ethereum
16,16,DEU,01/01/2018,3.5,16,2018-02-28 00:00:00+00:00,545.8333333,,,Germany-Ethereum
