,TIME,Variable,Score
7,2016-11-01,Japan_unemployment_Z,1.3657686349961937
8,2016-11-01,Turkey_unemployment_Z,-0.4465069454933854
9,2016-11-01,USA_unemployment_Z,-0.177219288651139
10,2016-11-01,Bitcoin_price_Z,-0.8599008810652209
11,2016-11-01,Ethereum_price_Z,-0.7317861080484898
12,2016-11-01,Germany_unemployment_Z,1.095980415480785
13,2016-11-01,Germany_unemployment_Z,1.095980415480785
21,2016-12-01,Japan_unemployment_Z,1.3657686349961937
22,2016-12-01,Turkey_unemployment_Z,-0.07016537714895674
23,2016-12-01,USA_unemployment_Z,-0.177219288651139
24,2016-12-01,Bitcoin_price_Z,-0.8533081276488855
25,2016-12-01,Ethereum_price_Z,-0.735520589032436
26,2016-12-01,Germany_unemployment_Z,1.095980415480785
27,2016-12-01,Germany_unemployment_Z,1.095980415480785
35,2017-01-01,Japan_unemployment_Z,1.3657686349961937
36,2017-01-01,Turkey_unemployment_Z,-0.14543369081784221
37,2017-01-01,USA_unemployment_Z,-0.177219288651139
38,2017-01-01,Bitcoin_price_Z,-0.8443630287121983
39,2017-01-01,Ethereum_price_Z,-0.7379321662430135
40,2017-01-01,Germany_unemployment_Z,1.095980415480785
41,2017-01-01,Germany_unemployment_Z,1.095980415480785
49,2017-02-01,Japan_unemployment_Z,0.9764915844417215
50,2017-02-01,Turkey_unemployment_Z,-0.22070200448672767
51,2017-02-01,USA_unemployment_Z,-0.22042564414873106
52,2017-02-01,Bitcoin_price_Z,-0.8390938688807742
53,2017-02-01,Ethereum_price_Z,-0.734630210161925
54,2017-02-01,Germany_unemployment_Z,1.095980415480785
55,2017-02-01,Germany_unemployment_Z,1.095980415480785
63,2017-03-01,Japan_unemployment_Z,0.5872145338872491
64,2017-03-01,Turkey_unemployment_Z,-0.22070200448672767
65,2017-03-01,USA_unemployment_Z,-0.30683835514391444
66,2017-03-01,Bitcoin_price_Z,-0.8240650134003847
67,2017-03-01,Ethereum_price_Z,-0.7303733966080667
68,2017-03-01,Germany_unemployment_Z,1.095980415480785
69,2017-03-01,Germany_unemployment_Z,1.095980415480785
77,2017-04-01,Japan_unemployment_Z,0.5872145338872491
78,2017-04-01,Turkey_unemployment_Z,-0.4465069454933854
79,2017-04-01,USA_unemployment_Z,-0.2636319996463227
80,2017-04-01,Bitcoin_price_Z,-0.8245565282139841
81,2017-04-01,Ethereum_price_Z,-0.6949724527626414
82,2017-04-01,Germany_unemployment_Z,0.7660679434738135
83,2017-04-01,Germany_unemployment_Z,0.7660679434738135
91,2017-05-01,Japan_unemployment_Z,1.3657686349961937
92,2017-05-01,Turkey_unemployment_Z,-0.8228485138378141
93,2017-05-01,USA_unemployment_Z,-0.30683835514391444
94,2017-05-01,Bitcoin_price_Z,-0.8144596305417351
95,2017-05-01,Ethereum_price_Z,-0.6682167861891973
96,2017-05-01,Germany_unemployment_Z,0.7660679434738135
97,2017-05-01,Germany_unemployment_Z,0.7660679434738135
105,2017-06-01,Japan_unemployment_Z,0.5872145338872491
106,2017-06-01,Turkey_unemployment_Z,-0.8981168275066995
107,2017-06-01,USA_unemployment_Z,-0.3500447106415065
108,2017-06-01,Bitcoin_price_Z,-0.7608431640659278
109,2017-06-01,Ethereum_price_Z,-0.5767384615287088
110,2017-06-01,Germany_unemployment_Z,0.7660679434738135
111,2017-06-01,Germany_unemployment_Z,0.7660679434738135
119,2017-07-01,Japan_unemployment_Z,0.5872145338872491
120,2017-07-01,Turkey_unemployment_Z,-1.1991900821822428
121,2017-07-01,USA_unemployment_Z,-0.3500447106415065
122,2017-07-01,Bitcoin_price_Z,-0.7050528707879774
123,2017-07-01,Ethereum_price_Z,-0.30301125326053024
124,2017-07-01,Germany_unemployment_Z,0.43615547146684325
125,2017-07-01,Germany_unemployment_Z,0.43615547146684325
133,2017-08-01,Japan_unemployment_Z,0.5872145338872491
134,2017-08-01,Turkey_unemployment_Z,-1.2744583958511282
135,2017-08-01,USA_unemployment_Z,-0.30683835514391444
136,2017-08-01,Bitcoin_price_Z,-0.7219558366161163
137,2017-08-01,Ethereum_price_Z,-0.43919205554521923
138,2017-08-01,Germany_unemployment_Z,0.43615547146684325
139,2017-08-01,Germany_unemployment_Z,0.43615547146684325
147,2017-09-01,Japan_unemployment_Z,0.5872145338872491
148,2017-09-01,Turkey_unemployment_Z,-1.424995023188899
149,2017-09-01,USA_unemployment_Z,-0.39325106613909816
150,2017-09-01,Bitcoin_price_Z,-0.6003105597198017
151,2017-09-01,Ethereum_price_Z,-0.316922683183467
152,2017-09-01,Germany_unemployment_Z,0.43615547146684325
153,2017-09-01,Germany_unemployment_Z,0.43615547146684325
161,2017-10-01,Japan_unemployment_Z,0.1979374833327784
162,2017-10-01,Turkey_unemployment_Z,-1.424995023188899
163,2017-10-01,USA_unemployment_Z,-0.43645742163669027
164,2017-10-01,Bitcoin_price_Z,-0.6052225812567752
165,2017-10-01,Ethereum_price_Z,-0.35629066160047623
166,2017-10-01,Germany_unemployment_Z,0.43615547146684325
167,2017-10-01,Germany_unemployment_Z,0.43615547146684325
175,2017-11-01,Japan_unemployment_Z,0.1979374833327784
176,2017-11-01,Turkey_unemployment_Z,-1.5755316505266714
177,2017-11-01,USA_unemployment_Z,-0.39325106613909816
178,2017-11-01,Bitcoin_price_Z,-0.5084691341154916
179,2017-11-01,Ethereum_price_Z,-0.3271285750884242
180,2017-11-01,Germany_unemployment_Z,0.10624299945987156
181,2017-11-01,Germany_unemployment_Z,0.10624299945987156
189,2017-12-01,Japan_unemployment_Z,0.1979374833327784
190,2017-12-01,Turkey_unemployment_Z,-1.7260682778644423
191,2017-12-01,USA_unemployment_Z,-0.43645742163669027
192,2017-12-01,Bitcoin_price_Z,-0.33701552111040245
193,2017-12-01,Ethereum_price_Z,-0.3121648647927921
194,2017-12-01,Germany_unemployment_Z,0.10624299945987156
195,2017-12-01,Germany_unemployment_Z,0.10624299945987156
